asgn_sno,appl_ymd,asgn_ymd,asgn_cancel_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,asgn_cancel_why,main_edf,trdp_area,admdng_nm,grade_facil_gbn
181,20020315,20020412,20040705,여자만,"서울특별시 강서구 가로공원로 199-1, 2,3층 (화곡동)","서울특별시 강서구 화곡동  379번지 64호  2,3층",3150000-101-1990-05941,한식,영업정지,장어구이,283.2,화곡제1동,상수도전용
97,20020315,20020412,20080709,민생시장 까치산역점,"서울특별시 강서구 강서로5나길 27, 지하1~2층 (화곡동)",서울특별시 강서구 화곡동  906번지 13호  지하1~2층,3150000-101-1996-04862,중국식,지정취소,추어탕,147.73,화곡제1동,상수도전용
189,20020315,20020412,20070628,차이나 웍,"서울특별시 강서구 강서로18길 21, 1층 (화곡동, 8동)",서울특별시 강서구 화곡동  338번지 20호  (지상 1층),3150000-101-2002-00761,중국식,,삼계탕,76.12,화곡제8동,상수도전용
133,20020315,20020412,20040525,불량범생이포차,"서울특별시 강서구 화곡로21길 7, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동  1067번지 18호  (지상 1층),3150000-101-1997-04514,중국식,영업자지위승계,칼국수,90.86,화곡제3동,상수도전용
4,20070608,20070628,20111031,불량범생이포차,"서울특별시 강서구 화곡로21길 7, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동  1067번지 18호  (지상 1층),3150000-101-1997-04514,중국식,기준미달,아구찜,90.86,화곡제3동,상수도전용
10,20201126,20201228,20230511,방화동 아구찜,"서울특별시 강서구 방화동로 59, (방화동)",서울특별시 강서구 방화동  606번지 112호  1층,3150000-101-1991-05621,한식,대표자 및 상호 변경(지위승계),차돌구이,123,방화제2동,상수도전용
354,20090727,20080709,20120207,오성맥주,"서울특별시 강서구 공항대로59길 26, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  647번지 27호  (지상 1층),3150000-101-1995-03472,한식,,생선구이,58.33,등촌제1동,상수도전용
138,20020315,20020412,20040723,하동우렁추어탕 목동점,"서울특별시 강서구 곰달래로 267, 1층 (화곡동, 4동)",서울특별시 강서구 화곡동  778번지 4호  (지상 1층),3150000-101-2002-00008,한식,영업자지위승계,느타리매운탕,171,화곡제4동,상수도전용
342,20080709,20080709,20201228,하동우렁추어탕 목동점,"서울특별시 강서구 곰달래로 267, 1층 (화곡동, 4동)",서울특별시 강서구 화곡동  778번지 4호  (지상 1층),3150000-101-2002-00008,한식,영업주 요청,감자탕,171,화곡제4동,상수도전용
92,20020315,20020412,20050519,미가버섯칼국수,"서울특별시 강서구 강서로5나길 57, (화곡동)",서울특별시 강서구 화곡동  910번지 29호  ,3150000-101-2001-09135,한식,영업자지위승계,"버섯매운탕,칼국수",68.3,화곡제1동,상수도전용
9,20100604,20100803,20171124,진미향,"서울특별시 강서구 공항대로45길 44, 2층 201호 (등촌동, 1동)",서울특별시 강서구 등촌동  641번지 11호  외 2필지 (지상 2층)-201,3150000-101-2009-00021,중국식,평가기준미달,탕수육,81.38,등촌제1동,상수도전용
41,20020315,20020412,20111031,역전오리,"서울특별시 강서구 강서로56길 24, 1층 (등촌동, 3동)",서울특별시 강서구 등촌동  674번지 6호  (지상 1층),3150000-101-1999-07792,정종/대포집/소주방,기준미달,삼겹살,183,등촌제3동,상수도전용
4,20020315,20020412,20041231,임진강민물장어,"서울특별시 강서구 양천로 723, 1층 (염창동)",서울특별시 강서구 염창동  252번지 5호  (지상 1층),3150000-101-1985-06223,한식,영업자지위승계,장어구이,117.27,염창동,상수도전용
18,20020315,20020412,20040309,(주)설농탕대가,"서울특별시 강서구 화곡로 416, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  628번지 5호  외 2필지 (지상 1층),3150000-101-1996-04667,한식,영업자지위승계,돼지갈비,293.79,등촌제1동,상수도전용
350,20080709,20080709,20191203,(주)설농탕대가,"서울특별시 강서구 화곡로 416, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동  628번지 5호  외 2필지 (지상 1층),3150000-101-1996-04667,한식,폐업,설렁탕,293.79,등촌제1동,상수도전용
31,20020315,20020412,20050216,더맛있는족발보쌈 등촌점,"서울특별시 강서구 화곡로66길 196, 1층 (등촌동)",서울특별시 강서구 등촌동  646번지 3호  ,3150000-101-2001-09883,한식,영업자지위승계,미박삼겹살,72.45,등촌제1동,상수도전용
96,20020315,20020412,20101230,전통묵은지 매운갈비찜,"서울특별시 강서구 강서로5나길 94, 가동 1층 (화곡동, 1동)",서울특별시 강서구 화곡동  913번지 6호 가 (지상 1층),3150000-101-1995-04966,한식,지정기준 점검표에 의한 부적합,설렁탕,97.55,화곡제1동,상수도전용
8,20100531,20100803,20111031,5.5닭갈비전문점,"서울특별시 강서구 강서로 237, 1층 6, 14~15호 (화곡동, 3동)",서울특별시 강서구 화곡동  1013번지 1호  외 1필지 (지상 1층) 6호 14~15호,3150000-101-2008-00061,한식,기준미달,닭갈비,121,화곡제3동,
