perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3150000-101-2022-00547,2022-09-01,,"서울특별시 강서구 공항대로 236, 1층 (마곡동)",7805,The 차이,2023-09-06 2:40:00,중국식,,185235.8432,450709.635,126.8353584,37.56099668
3150000-101-2022-00548,2022-09-01,,"서울특별시 강서구 강서로5나길 141, 3층 (화곡동)",7780,용식당,2024-07-27 2:40:00,한식,,185794.1362,447323.008,126.8409414,37.53020916
3150000-101-2022-00550,2022-09-01,02 3663 4124,"서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 에이동 1~2층 115,116,219,220호 (마곡동)",7788,벙커327,2022-10-02 2:40:00,한식,,184655.2643,451864.2982,126.8295526,37.57149362
3150000-101-2022-00551,2022-09-02,,"서울특별시 강서구 화곡로58길 22-8, 1층 (화곡동)",7657,연화옥,2022-09-04 0:22:26,한식,,186835.863,450045.9461,126.8513586,37.55496315
3150000-101-2022-00554,2022-09-05,070 4070 4670,"서울특별시 강서구 마곡중앙로 76, 힐스테이트에코마곡역 1층 101호 (마곡동)",7801,비바나폴리,2022-09-26 2:40:00,기타,,184691.0085,450919.9251,126.8299101,37.56290841
3150000-101-2022-00558,2022-09-07,,"서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 2층 201호 (마곡동)",7788,(주)사운드랩 마곡나루점,2023-11-03 2:40:00,경양식,,184555.6892,451767.8335,126.8285569,37.57061667
3150000-101-2022-00559,2022-09-07,,"서울특별시 강서구 공항대로 212, 문영 퀸즈파크11차 1층 126호 (마곡동)",7806,브런치9(Brunch9),2023-01-20 2:40:00,경양식,,184998.7045,450740.5412,126.832987,37.56127765
3150000-101-2022-00560,2022-09-07,,"서울특별시 강서구 강서로12길 5-6, 1층 (화곡동)",7757,오리와장어,2022-09-09 0:22:26,한식,,186448.9582,447741.3889,126.8474896,37.53401263
3150000-101-2022-00562,2022-09-13,507 1475 0378,"서울특별시 강서구 곰달래로19길 43, 1층 (화곡동)",7771,추억을파는식당,2025-01-23 2:40:00,한식,,185977.1025,447791.6343,126.842771,37.5344694
3150000-101-2022-00563,2022-09-13,070 7788 7316,"서울특별시 강서구 공항대로 209, 2층 208호 (마곡동)",7802,서촌김씨 오스테리아,2022-10-10 2:40:00,경양식,,184988.4384,450841.1044,126.8328844,37.56219186
3150000-101-2022-00564,2022-09-13,,"서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 B동 1층 106,107호 (마곡동)",7788,지피다,2023-05-28 2:40:00,한식,,184655.2643,451864.2982,126.8295526,37.57149362
3150000-101-2022-00566,2022-09-13,,"서울특별시 강서구 마곡중앙6로 11, 보타닉파크타워3 2층 220호 (마곡동)",7801,블랭크(BL_nk),2022-09-15 0:22:26,경양식,,184805.6815,450977.857,126.8310568,37.56343506
