perm_nt_no,apv_perm_ymd,site_tel,rdn_whl_addr,rdn_post_no,bplc_nm,update_dt,uptae_nm,trdp_jubnse_nm,x,y,longitude,latitude
3150000-101-1976-01512,1976-07-22,02 2608 8230,"서울특별시 강서구 화곡로 194-52, 1층 (화곡동, 본동)",7727,코비,2024-08-09 2:40:00,호프/통닭,주택가주변,186078.8482,448913.638,126.8437885,37.54466944
3150000-101-1976-04181,1976-08-09,02 2693 2103,"서울특별시 강서구 까치산로4길 60, 1층 (화곡동)",7730,중국관,2021-12-29 2:40:00,중국식,주택가주변,186310.2467,448694.5966,126.8461025,37.54267815
3150000-101-1976-04186,1976-01-23,02 2662 3171,"서울특별시 강서구 공항대로 15, 지하 1층 (공항동)",7619,공항뚝배기,2021-04-30 2:40:00,한식,기타,183064.578,451093.1614,126.8136458,37.56448329
3150000-101-1976-05633,1976-02-12,02 3662 3765,"서울특별시 강서구 공항대로65길 1-9, 1층 (염창동)",7561,토라야,2018-08-31 23:59:59,한식,기타,188191.0714,449815.0395,126.8649107,37.552864
3150000-101-1976-05729,1976-07-30,02 2605 5364,서울특별시 강서구 화곡로 194-48 (화곡동),7727,선영이네,2022-02-27 2:40:00,한식,주택가주변,186060.1788,448951.8867,126.8436018,37.54501715
3150000-101-1978-04256,1978-04-13,02 2695 3392,"서울특별시 강서구 강서로 55, 1층 (화곡동, 1동)",7773,돈오야,2018-08-31 23:59:59,한식,주택가주변,186307.2853,447832.9074,126.8460729,37.53484461
3150000-101-1978-08638,1978-11-13,02 2690 2782,서울특별시 강서구 강서로 17 (화곡동),7778,심원생고기,2021-12-30 2:40:00,한식,유흥업소밀집지역,186473.6121,447474.6321,126.8477361,37.53158756
3150000-101-1979-01535,1979-11-19,02 2654 5959,"서울특별시 강서구 등촌로 173, 1층 4호 (등촌동, 2동)",7668,59피자,2025-02-23 2:40:00,패스트푸드,기타,187741.8199,449247.6777,126.8604182,37.54770616
3150000-101-1979-05418,1979-05-14,02 2695 4685,"서울특별시 강서구 우장산로16길 44, 1층 (화곡동, 6동)",7686,외갓집,2021-05-16 2:40:00,한식,주택가주변,186548.1546,449934.6485,126.8484815,37.55395135
3150000-101-1979-08056,1979-06-18,02 2699 1183,"서울특별시 강서구 공항대로46길 100, 1층 (화곡동, 6동)",7658,엄지족,2022-06-30 2:40:00,호프/통닭,기타,186711.5327,449978.5634,126.8501153,37.55435058
3150000-101-1980-04175,1980-05-02,02 3661 9483,"서울특별시 강서구 양천로30길 32, 1층 (마곡동, 가양1동)",7593,대성각,2025-02-23 2:40:00,중국식,주택가주변,184258.2453,452190.9904,126.8255825,37.57446355
3150000-101-1980-05497,1980-04-08,0 2662 1919,"서울특별시 강서구 방화동로 1, 1층 (방화동, 2동)",7620,육대장(공항점),2022-04-09 2:40:00,호프/통닭,주택가주변,182959.9767,451108.843,126.8125998,37.56462585
3150000-101-1980-05853,1980-09-05,02 2605 6011,"서울특별시 강서구 까치산로 29, 1층 (화곡동, 본동 모현빌딩)",7727,피기피기,2021-12-29 2:40:00,한식,주택가주변,186101.2245,448926.9395,126.8440122,37.54479036
3150000-101-1981-05498,1981-05-30,02 2663 7332,"서울특별시 강서구 개화동로 565, 1층 (방화동, 2동)",7620,궁중추어탕,2021-12-30 2:40:00,한식,주택가주변,182915.5127,451103.6686,126.8121551,37.56457881
3150000-101-1981-05858,1981-10-30,02 2602 9923,"서울특별시 강서구 화곡로 194-9, 1층 (화곡동, 본동)",7721,동글식당,2018-08-31 23:59:59,한식,주택가주변,186082.8655,448964.4817,126.8438287,37.54513165
3150000-101-1981-05888,1981-09-16,02 3661 9104,"서울특별시 강서구 공항대로53가길 15, 1층 (등촌동)",7570,실비집,2024-08-10 2:40:00,한식,,187460.0671,450240.3086,126.8576007,37.55673008
3150000-101-1982-05571,1982-10-28,02 2692 9279,"서울특별시 강서구 가로공원로 227, A동 1층 101호 (화곡동, 1동)",7720,교촌치킨화곡2호점,2022-01-21 2:40:00,한식,주택가주변,185864.0098,448468.8963,126.8416401,37.54062633
3150000-101-1982-05788,1982-11-16,02 2668 5962,서울특별시 강서구 강서로74길 42 (가양동),7573,한라산도야지,2021-12-29 2:40:00,한식,주택가주변,186080.546,451617.8952,126.8438055,37.56925359
3150000-101-1982-06603,1982-06-23,02 2601 3395,"서울특별시 강서구 곰달래로 175, 1층 (화곡동, 2동)",7750,전주교동집,2021-05-30 2:40:00,한식,주택가주변,186890.0433,447665.3541,126.8519004,37.5333214
3150000-101-1983-02934,1983-10-15,02 2602 9923,"서울특별시 강서구 화곡로 194-15, 1층 (화곡동)",7721,동글갈비,2018-12-22 2:40:00,한식,주택가주변,186114.1658,448946.88,126.8441417,37.54497164
3150000-101-1983-04148,1983-12-12,02 2661 5450,"서울특별시 강서구 양천로 48, 1층 (방화동, 2동)",7602,우리집밥상,2020-01-25 2:40:00,분식,주택가주변,183058.6344,452298.2741,126.8135863,37.57543886
3150000-101-1983-06229,1983-12-27,02 2660 9010,"서울특별시 강서구 방화대로 94, 1층 (외발산동, 1동 메이필드호텔)",7506,낙원(樂源),2023-06-22 2:40:00,한식,기타,183878.5842,449529.402,126.8217858,37.55026729
3150000-101-1983-07720,1983-09-08,02 2692 0080,"서울특별시 강서구 곰달래로 208, 1층 (화곡동)",7783,자금성,2024-08-28 2:40:00,중국식,주택가주변,187203.905,447681.5004,126.8550391,37.53346819
3150000-101-1983-08303,1983-06-16,02 0000 0000,,,서울통닭집,2018-08-31 23:59:59,분식,주택가주변,186906.1227,447686.8952,126.8520612,37.53351723
3150000-101-1983-08481,1983-12-01,02 2606 5989,"서울특별시 강서구 화곡로 194-48, 1층 (화곡동, 본동)",7727,어쩌라고,2024-02-05 2:40:00,정종/대포집/소주방,주택가주변,186060.1788,448951.8867,126.8436018,37.54501715
3150000-101-1984-02713,1984-07-07,02 2664 7066,서울특별시 강서구 양천로22길 8 (방화동),7604,다보분식,2021-12-30 2:40:00,분식,주택가주변,183521.2439,452319.2092,126.8182124,37.57562917
3150000-101-1984-02768,1984-12-21,02 2662 2812,"서울특별시 강서구 방화동로3길 6 (방화동,(지상 1층))",7620,사돈분식,2018-08-31 23:59:59,분식,주택가주변,183028.2636,451169.232,126.8132826,37.56517484
3150000-101-1984-02878,1984-04-13,02 2663 6118,"서울특별시 강서구 양천로 23 (방화동,지상1층)",7516,개화산맛집,2021-12-30 2:40:00,분식,주택가주변,182824.2392,452298.8011,126.8112424,37.57544365
3150000-101-1984-03021,1984-08-14,02 3664 4938,서울특별시 강서구 양천로 661 (염창동),7543,강서손칼국수,2021-08-11 2:40:00,분식,주택가주변,188495.1705,450021.0855,126.8679517,37.55473714
3150000-101-1984-04219,1984-07-18,02 3664 8110,"서울특별시 강서구 양천로 651, 2층 (염창동)",7544,동보성,2018-08-31 23:59:59,중국식,주택가주변,188426.3767,450097.9649,126.8672638,37.55543604
3150000-101-1984-05390,1984-04-23,0 2699 1402,"서울특별시 강서구 강서로5나길 109, 1층 (화곡동)",7780,귀한보쌈?바지락칼국수 화곡점,2024-09-28 2:40:00,한식,주택가주변,185997.2493,447326.5486,126.8429725,37.53024135
3150000-101-1984-05611,1984-06-07,02 2603 9235,"서울특별시 강서구 강서로 239, 1층 (화곡동, 3동)",7705,고기야놀자,2018-08-31 23:59:59,한식,기타,185436.0743,449449.2625,126.8373607,37.54953875
3150000-101-1984-05617,1984-03-31,02 2697 1475,"서울특별시 강서구 강서로45가길 9, 1층 (화곡동, 3동)",7705,충북식당,2018-10-10 23:59:59,한식,주택가주변,185407.2501,449492.3923,126.8370725,37.54993084
3150000-101-1984-05867,1984-04-13,0 2664 5407,"서울특별시 강서구 방화동로 18-6, 1층 (공항동)",7619,마당쇠 참나무 한방 숯불 바베큐,2021-11-10 2:40:00,한식,기타,183118.4057,451160.8325,126.8141841,37.56509848
3150000-101-1984-05900,1984-12-17,0 2659 1525,"서울특별시 강서구 강서로 489 (가양동, 1동)",7523,고바우식당,2018-08-31 23:59:59,한식,주택가주변,185893.3388,451885.9702,126.8419334,37.57169064
3150000-101-1984-06419,1984-12-10,02 2652 5766,"서울특별시 강서구 등촌로3나길 5, 1층 (화곡동)",7785,지랄닭발,2021-02-06 2:40:00,한식,주택가주변,187692.2558,447650.9044,126.8599226,37.53319004
3150000-101-1984-08662,1984-02-10,02 2605 3248,"서울특별시 강서구 우장산로16길 26, 1층 (화곡동, 6동)",7686,골목집,2023-10-06 2:40:00,횟집,주택가주변,186603.8171,450005.712,126.8490382,37.55459738
3150000-101-1984-08664,1984-04-13,02 2662 9987,"서울특별시 강서구 송정로 70, 1층 (공항동)",7623,한우곱창,2018-09-19 23:59:59,한식,,183137.3941,450980.5368,126.8143739,37.56345943
3150000-101-1985-03280,1985-05-04,02 2694 8462,"서울특별시 강서구 강서로45길 9, 1층 (화곡동, 3동)",7705,원조김밥,2018-08-31 23:59:59,분식,기타,185408.0039,449514.6794,126.83708,37.55013345
3150000-101-1985-03880,1985-06-19,02 2664 7620,서울특별시 강서구 방화대로21길 90 (방화동),7616,전이랑명태랑,2018-11-01 2:37:28,한식,주택가주변,183311.8446,451355.3704,126.8161184,37.566867
3150000-101-1985-04155,1985-04-06,0 2605 4118,"서울특별시 강서구 화곡로 285 (화곡동,(지하 1층))",7687,엉터리식당,2018-08-31 23:59:59,한식,주택가주변,186481.1301,449772.3396,126.8478113,37.55247581
3150000-101-1985-05393,1985-10-14,02 3664 1285,서울특별시 강서구 양천로67길 7 (염창동),7545,초원분식,2021-12-26 2:40:00,한식,주택가주변,188219.7991,450276.7139,126.865198,37.55706104
3150000-101-1985-06117,1985-06-18,02 2607 0048,"서울특별시 강서구 강서로45가길 19, 아림빌딩 1층 (화곡동)",7705,순희네빈대떡우장산역점,2025-02-20 2:40:00,한식,기타,185410.6795,449443.8171,126.8371068,37.54948925
3150000-101-1985-06135,1985-11-30,02 2652 9961,서울특별시 강서구 등촌로39길 14 (등촌동),7668,춘천숯불갈비,2018-08-31 23:59:59,한식,기타,187694.2717,449282.863,126.8599427,37.54802603
3150000-101-1985-06223,1985-10-18,02 3663 7900,"서울특별시 강서구 양천로 723, 1층 (염창동)",7540,임진강민물장어,2021-06-26 2:40:00,한식,주택가주변,189003.8724,449700.1207,126.8730387,37.55181928
3150000-101-1985-07851,1985-03-02,02 2662 2353,"서울특별시 강서구 공항대로 14-1, 1층 (공항동)",7622,까치숯불구이,2018-08-31 23:59:59,한식,기타,183042.6399,451015.8183,126.8134264,37.56378017
3150000-101-1985-08444,1985-11-01,02 2663 4619,"서울특별시 강서구 방화동로16길 36 (방화동,(지상 1층))",7604,강서식당,2021-08-11 2:40:00,한식,주택가주변,183371.2874,452176.7418,126.8167129,37.57433402
3150000-101-1986-02648,1986-12-20,02 2664 0808,서울특별시 강서구 양천로 60 (방화동),7603,사거리홍어,2021-12-31 2:40:00,한식,주택가주변,183198.1837,452327.5899,126.8149818,37.57570536
3150000-101-1986-02775,1986-08-27,02 2664 6378,"서울특별시 강서구 공항대로 14 (공항동,(지상 1층))",7622,삼부숯불구이,2021-12-30 2:40:00,한식,주택가주변,183031.3988,451022.8202,126.813314,37.56384382
3150000-101-1986-02849,1986-10-18,02 3661 2744,"서울특별시 강서구 화곡로64길 68, 1~2층 (등촌동, 1동)",7571,등촌식당,2024-09-12 2:40:00,한식,주택가주변,187268.8582,450428.5566,126.8556886,37.55844142
3150000-101-1986-02995,1986-02-28,02 2664 2075,"서울특별시 강서구 공항대로2길 12, 1층 (공항동)",7622,돌담족발,2018-08-31 23:59:59,한식,주택가주변,183014.9636,450980.126,126.8131496,37.56345569
3150000-101-1986-05502,1986-03-07,02 2663 6333,"서울특별시 강서구 양천로 52, 1층 (방화동, 2동)",7602,남해집,2022-04-17 2:40:00,한식,유흥업소밀집지역,183116.2945,452309.6866,126.8141629,37.57554261
3150000-101-1986-06472,1986-10-20,02 2608 9289,"서울특별시 강서구 화곡로 121, 1층 (화곡동)",7711,깡우동(화곡역점),2024-11-14 2:40:00,한식,기타,185382.9481,448706.9684,126.8368295,37.54279062
3150000-101-1986-06545,1986-08-21,02 2699 7191,"서울특별시 강서구 강서로45길 18 (내발산동,외 1필지 태승훼미리아파트상가 113호 (지상 1층))",7639,속초털보회냉면,2018-08-31 23:59:59,한식,기타,185361.722,449568.4392,126.8366172,37.55062217
3150000-101-1987-02657,1987-06-25,02 2651 1701,"서울특별시 강서구 등촌로 41, 1층 (화곡동, 4동)",7741,한방오리농장,2018-08-31 23:59:59,한식,기타,187853.8691,447947.9738,126.8615387,37.53589067
3150000-101-1987-03165,1987-05-01,02 2691 9209,서울특별시 강서구 화곡로 205 (화곡동),7696,치킨플라이,2024-12-04 0:03:00,통닭(치킨),,186065.9752,449079.6699,126.8436598,37.54617882
3150000-101-1987-03557,1987-11-30,02 2698 6551,"서울특별시 강서구 화곡로53길 14, 1층 (화곡동, 6동)",7686,서궁일식,2018-08-31 23:59:59,일식,주택가주변,186515.2574,449921.4556,126.8481526,37.55383141
3150000-101-1987-03838,1987-07-31,02 2664 4467,"서울특별시 강서구 양천로 지하 56, 1층 (방화동, 2동)",,킹,2018-08-31 23:59:59,경양식,주택가주변,183156.7806,452319.1275,126.8145678,37.57562843
3150000-101-1987-03868,1987-10-29,0 2665 2214,서울특별시 강서구 양천로16길 11 (방화동),7603,예스,2022-01-19 2:40:00,경양식,주택가주변,183244.6113,452295.1191,126.8154461,37.57541017
3150000-101-1987-04177,1987-09-03,02 2663 1235,서울특별시 강서구 방화대로7길 59 (공항동),7628,도화루,2021-12-30 2:40:00,중국식,주택가주변,183397.1059,450417.7158,126.8169711,37.55834287
3150000-101-1987-04227,1987-03-31,02 2694 8549,"서울특별시 강서구 월정로 96 (화곡동,(지하 1층))",7780,진성관,2021-12-30 2:40:00,중국식,주택가주변,185766.025,447316.215,126.8406602,37.53014741
3150000-101-1987-05420,1987-11-04,02 2696 0017,"서울특별시 강서구 공항대로46길 35, 1층 (화곡동, 6동)",7654,춘천중앙로숯불닭갈비,2022-07-12 2:40:00,한식,주택가주변,186894.6291,450219.7704,126.8519463,37.55654337
3150000-101-1987-05557,1987-08-24,02 2605 3392,"서울특별시 강서구 공항대로46길 78 (화곡동,(지상 1층))",7658,황소 곱창,2021-09-11 2:40:00,한식,유흥업소밀집지역,186773.4718,450066.5636,126.8507347,37.55515058
3150000-101-1987-05692,1987-09-18,02 2663 9889,"서울특별시 강서구 강서로 271 (내발산동,(지상 1층))",7639,마포무대포주먹고기,2018-08-31 23:59:59,한식,기타,185431.5362,449756.1246,126.8373154,37.55232841
3150000-101-1987-05857,1987-03-16,02 2602 7739,서울특별시 강서구 까치산로 30 (화곡동),7726,달빛 오징어 광어 화곡점,2021-05-12 2:40:00,한식,주택가주변,186125.829,448897.4965,126.8442583,37.5445227
3150000-101-1987-05886,1987-11-23,0 2693 7238,서울특별시 강서구 초록마을로2길 42 (화곡동),7721,개성집,2022-08-11 2:40:00,한식,기타,186118.2162,449030.4185,126.8441822,37.54573108
3150000-101-1987-08612,1987-03-29,02 2664 1492,"서울특별시 강서구 방화동로 30, 1층 (공항동)",,소문난해장국집,2018-08-31 23:59:59,한식,기타,183176.9308,451256.6531,126.8147693,37.56596957
3150000-101-1988-01478,1988-07-04,0 1644 0908,"서울특별시 강서구 화곡로 135, 1층 (화곡동, 3동)",7712,압구정봉구비어 화곡2호점,2024-05-23 2:40:00,정종/대포집/소주방,기타,185495.7882,448753.1883,126.8379579,37.5432108
3150000-101-1988-01703,1988-11-24,02 2696 6533,서울특별시 강서구 화곡로 194-48 (화곡동),7727,우정감자탕,2021-12-30 2:40:00,한식,기타,186060.1788,448951.8867,126.8436018,37.54501715
3150000-101-1988-02577,1988-10-31,0 2699 1891,,,금화식당,2018-08-31 23:59:59,분식,주택가주변,185926.2307,447510.5159,126.8422623,37.53191378
3150000-101-1988-02823,1988-11-29,02 2606 6386,"서울특별시 강서구 곰달래로 139-1, 1층 (화곡동, 8동)",7760,북경양꼬치,2018-08-31 23:59:59,중국식,주택가주변,186539.3257,447630.8231,126.8483933,37.53300748
3150000-101-1988-03206,1988-03-17,02 3663 1909,"서울특별시 강서구 공항대로59가길 25-6, 1층 (등촌동, 1동)",7563,의성칼국수,2018-08-31 23:59:59,분식,주택가주변,188043.1431,449958.7922,126.8634314,37.55417084
3150000-101-1988-03982,1988-12-01,02 3660 4060,"서울특별시 강서구 양천로 743, 1층 (염창동,  나이아가라호텔)",7539,나이아가라 라운지카페 첼로시아,2024-03-30 2:40:00,경양식,기타,189200.1477,449654.951,126.8750015,37.55140865
3150000-101-1988-04144,1988-05-27,02 2662 2322,"서울특별시 강서구 개화동로 567, 1~2층 (방화동)",7620,도일처,2022-01-15 2:40:00,중국식,유흥업소밀집지역,182938.1925,451093.4857,126.8123819,37.56448623
3150000-101-1988-05709,1988-09-23,02 2663 9982,"서울특별시 강서구 공항대로 14-1, 1층 (공항동)",7622,비행기탄 꼬꼬 누룽지통닭구이,2018-08-31 23:59:59,호프/통닭,주택가주변,183042.6399,451015.8183,126.8134264,37.56378017
3150000-101-1989-01578,1989-03-28,02 2695 9282,"서울특별시 강서구 강서로 17-1, 1층 (화곡동, 1동)",7778,조연탄 까치산역점,2025-01-04 2:40:00,한식,주택가주변,186470.1418,447488.2953,126.8477014,37.53171178
3150000-101-1989-02585,1989-04-15,02 2665 6245,서울특별시 강서구 방화동로 113 (방화동),7607,방신시장 순대국,2018-08-31 23:59:59,한식,주택가주변,183357.2595,452034.0399,126.8165726,37.57303673
3150000-101-1989-02865,1989-10-24,02 2664 0868,"서울특별시 강서구 공항대로8길 11, 1층 (공항동)",7624,라피노치킨,2024-07-03 2:40:00,통닭(치킨),주택가주변,183354.5454,450939.8295,126.8165455,37.56308936
3150000-101-1989-03103,1989-04-28,02 2651 8887,서울특별시 강서구 등촌로53길 5 (등촌동),7667,넝쿨,2021-12-30 2:40:00,분식,주택가주변,187838.9727,449670.4242,126.8613897,37.55154931
3150000-101-1989-03526,1989-01-12,02 2696 9869,"서울특별시 강서구 화곡로 129, 1층 (화곡동, 3동)",7712,돌구이곱창,2021-12-30 2:40:00,한식,기타,185445.5495,448735.5256,126.8374555,37.54305023
3150000-101-1989-03532,1989-03-30,02 2064 2626,"서울특별시 강서구 강서로47길 19, 1층 (내발산동, 1동)",7639,밥심 생고기,2024-08-02 2:40:00,한식,기타,185359.4528,450031.2492,126.8365945,37.55482954
3150000-101-1989-05585,1989-01-24,0 2691 7589,"서울특별시 강서구 가로공원로 179, 1층 (화곡동, 1동)",7718,봉평맛지기,2020-08-27 2:40:00,한식,주택가주변,185419.3504,448339.5896,126.8371935,37.53945081
3150000-101-1989-06002,1989-05-22,02 2602 1002,"서울특별시 강서구 화곡로32길 14, 1층 (화곡동)",7721,엉터리생고기화곡점,2021-08-13 2:40:00,한식,주택가주변,186113.1179,448973.1202,126.8441312,37.54521018
3150000-101-1989-06007,1989-05-02,02 2661 6580,"서울특별시 강서구 강서로47길 19, 1층 (내발산동, 1동)",7639,장영오(J.Y.O)두부명가,2018-08-31 23:59:59,한식,기타,185359.4528,450031.2492,126.8365945,37.55482954
3150000-101-1989-06013,1989-10-26,02 3661 1020,"서울특별시 강서구 공항대로45길 44, 1층 (등촌동, 1동)",7569,쭈퐁,2019-11-24 2:40:00,한식,주택가주변,187197.4688,450519.9994,126.8549747,37.55927272
3150000-101-1989-06543,1989-01-13,02 2693 2830,서울특별시 강서구 강서로5길 16 (화곡동),7778,미채원 양갈비 양꼬치(까치산점),2024-01-17 2:40:00,일식,주택가주변,186501.7184,447407.8187,126.8480172,37.53098017
3150000-101-1989-08751,1989-03-31,02 2664 3301,"서울특별시 강서구 곰달래로49길 18, 1층 (화곡동)",7738,호세야 오리바베큐,2025-02-15 2:40:00,한식,기타,187376.8356,447821.3186,126.8567684,37.53473926
3150000-101-1989-08752,1989-09-12,,"서울특별시 강서구 마곡중앙2로 5, 2층 207호 (마곡동)",7631,박자매 한상,2021-03-10 0:23:00,기타,,184685.3916,450700.8004,126.8298539,37.56091637
3150000-101-1990-02525,1990-09-15,02 2608 0891,서울특별시 강서구 강서로7길 5 (화곡동),7778,쿠시아이,2024-12-27 2:40:00,호프/통닭,유흥업소밀집지역,186443.006,447493.8452,126.8474301,37.53176223
3150000-101-1990-02692,1990-11-14,0 2664 8795,"서울특별시 강서구 양천로30길 32 (마곡동,(지상 1층))",7593,이태리포차,2018-12-23 2:40:00,통닭(치킨),주택가주변,184258.2453,452190.9904,126.8255825,37.57446355
3150000-101-1990-03135,1990-04-30,02 3665 1417,"서울특별시 강서구 공항대로61길 10, 1층 (염창동)",7562,오떡후,2018-08-31 23:59:59,분식,기타,188044.6908,449915.9904,126.8634469,37.55378173
3150000-101-1990-03345,1990-12-27,02 2693 5091,"서울특별시 강서구 초록마을로 11, 1층 (화곡동, 본동)",7679,짝태 앤 노가리(화곡점),2024-06-26 2:40:00,호프/통닭,주택가주변,186290.6729,449161.143,126.8459067,37.54691948
3150000-101-1990-04240,1990-11-06,02 2604 3073,"서울특별시 강서구 화곡로 206, 지하 1층 (화곡동, 본동)",7721,나팔부는 오빠,2018-08-31 23:59:59,라이브카페,주택가주변,186125.3145,449082.3233,126.8442531,37.54620294
3150000-101-1990-05425,1990-03-22,02 2699 0377,"서울특별시 강서구 화곡로50길 12, 1층 (화곡동, 6동)",7663,전라도식당,2018-08-31 23:59:59,한식,주택가주변,186547.316,449700.4047,126.8484732,37.55182186
3150000-101-1990-05636,1990-06-27,02 3664 2564,서울특별시 강서구 공항대로59다길 276 (염창동),7557,목포식당,2021-12-26 2:40:00,한식,기타,189083.8793,449522.0555,126.8738388,37.5502005
3150000-101-1990-05647,1990-10-19,02 2664 5806,"서울특별시 강서구 방화동로 80, 2층 나호 (방화동)",7616,오가네옻닭,2019-04-24 2:40:00,한식,기타,183400.7148,451689.7828,126.8170071,37.56990712
3150000-101-1990-05908,1990-07-20,02 3662 0889,"서울특별시 강서구 양천로49길 50, 1층 (가양동)",7523,은하식당,2021-12-29 2:40:00,한식,기타,185863.9462,452083.8512,126.8416395,37.57348956
3150000-101-1990-05941,1990-08-29,02 2699 9292,"서울특별시 강서구 가로공원로 199-1, 2,3층 (화곡동)",7719,여자만,2019-10-12 2:40:00,한식,주택가주변,185626.4489,448384.7325,126.8392645,37.5398612
3150000-101-1990-06328,1990-06-11,02 2606 4792,"서울특별시 강서구 화곡로58길 17, 1층 (화곡동, 6동)",7654,한가네숯불닭갈비,2023-06-30 2:40:00,한식,주택가주변,186846.1588,450097.163,126.8514616,37.55542875
3150000-101-1990-06456,1990-04-02,02 2693 5878,"서울특별시 강서구 공항대로45길 7, 1층 (등촌동, 1동)",7572,더플롯(THE PLOT),2018-08-31 23:59:59,기타,기타,187047.6505,450413.5252,126.8534765,37.55830477
3150000-101-1990-07307,1990-02-06,02 2691 9393,"서울특별시 강서구 월정로28길 28, 1층 4호 (화곡동)",7766,페리카나치킨,2022-02-10 2:40:00,통닭(치킨),주택가주변,185620.8159,447901.3672,126.8392082,37.53546697
3150000-101-1990-08647,1990-10-25,02 2699 9793,서울특별시 강서구 강서로5나길 12 (화곡동),7778,솔밭식당,2021-12-30 2:40:00,한식,유흥업소밀집지역,186456.5542,447400.3504,126.8475655,37.53091228
3150000-101-1990-08886,1990-05-24,02 2661 0176,"서울특별시 강서구 마곡동로 62, 마곡사이언스타워 2층 212호 (마곡동)",7803,다도해,2022-09-15 2:40:00,일식,유흥업소밀집지역,185259.1853,450932.3598,126.8355919,37.56302145
3150000-101-1991-01403,1991-01-14,02 2666 8292,"서울특별시 강서구 양천로14길 10, 1층 (방화동, 2동)",7602,원조나주곰탕,2022-09-16 2:40:00,한식,주택가주변,183150.697,452284.6145,126.814507,37.57531468
3150000-101-1991-02626,1991-10-30,02 2663 4834,"서울특별시 강서구 양천로14길 24 (방화동,(지상 1층))",7602,티바두마리치킨,2018-08-31 23:59:59,통닭(치킨),주택가주변,183142.1514,452214.9467,126.8144215,37.57468133
3150000-101-1991-03013,1991-04-13,02 2661 0666,"서울특별시 강서구 방화대로7나길 52, 1층 (공항동)",7626,피자맨이야,2018-08-31 23:59:59,출장조리,주택가주변,183389.6046,450473.4175,126.816896,37.55884925
3150000-101-1991-03357,1991-03-08,02 2699 5657,"서울특별시 강서구 곰달래로 177, 1층 (화곡동)",7750,멕시칸치킨,2023-08-18 2:40:00,통닭(치킨),주택가주변,186909.4991,447666.2658,126.852095,37.53332969
3150000-101-1991-03848,1991-04-08,02 2699 4022,"서울특별시 강서구 까치산로17길 10, 1층 (화곡동, 6동)",7663,준치킨,2018-10-25 2:37:21,한식,주택가주변,186609.4993,449561.4954,126.849095,37.55055905
3150000-101-1991-05453,1991-10-21,02 2695 7900,"서울특별시 강서구 공항대로46길 13-12 (화곡동,(지상 1층))",7654,진진바리횟집,2023-08-03 2:40:00,한식,주택가주변,186959.5812,450216.7536,126.8525958,37.55651594
3150000-101-1991-05509,1991-10-10,02 2666 9311,"서울특별시 강서구 초원로 60, 1층 (방화동)",7615,전라밥상,2024-07-24 2:40:00,한식,주택가주변,183324.2545,451718.1259,126.8162425,37.57016478
3150000-101-1991-05536,1991-11-08,0 2693 0286,서울특별시 강서구 까치산로 193-17 (화곡동),7654,장모보쌈,2021-06-04 2:40:00,한식,주택가주변,187020.5899,450262.7568,126.8532059,37.55693415
3150000-101-1991-05538,1991-12-09,02 2606 3677,"서울특별시 강서구 까치산로 183, 1층 (화곡동)",7654,푸주도가니,2021-12-29 2:40:00,한식,주택가주변,186995.1247,450160.487,126.8529512,37.55600443
3150000-101-1991-05563,1991-06-26,02 2663 2179,서울특별시 강서구 방화동로5길 15 (방화동),7620,초가집,2018-08-31 23:59:59,한식,주택가주변,183141.9976,451337.1354,126.81442,37.56670123
3150000-101-1991-05575,1991-08-17,02 2691 9744,"서울특별시 강서구 강서로5나길 133, 1층 (화곡동, 1동)",7780,홍어마을,2023-09-07 2:40:00,한식,기타,185854.3541,447328.6519,126.8415435,37.53026047
3150000-101-1991-05621,1991-03-01,02 2661 2288,서울특별시 강서구 방화동로 59 (방화동),7615,방화동 아구찜,2024-09-11 2:40:00,한식,주택가주변,183324.6802,451522.0246,126.8162468,37.56838204
3150000-101-1991-05716,1991-10-17,02 2662 7500,"서울특별시 강서구 개화동로5길 3-54, 1층 (개화동, 2동)",7503,토담,2018-08-31 23:59:59,한식,기타,182158.4245,453388.9793,126.8045842,37.58535436
3150000-101-1991-05804,1991-04-25,02 2602 6720,"서울특별시 강서구 월정로 128 (화곡동,(지하 1층))",7772,별천지,2018-08-31 23:59:59,한식,기타,185630.5803,447602.7888,126.8393058,37.53275263
3150000-101-1991-05982,1991-12-23,02 3661 8058,"서울특별시 강서구 공항대로59가길 10, 2층 201~202호 (등촌동)",7563,정일품삼계탕,2020-11-05 2:40:00,한식,기타,187938.0497,449973.4227,126.8623805,37.55430384
3150000-101-1991-06062,1991-04-10,02 2699 1388,"서울특별시 강서구 까치산로 38, 1층 (화곡동)",7722,일등수산,2024-05-11 2:40:00,일식,기타,186181.9915,448959.0627,126.8448199,37.54508239
3150000-101-1991-06064,1991-07-09,02 2605 8503,"서울특별시 강서구 초록마을로 10-1, 1층 (화곡동, 본동)",7721,원조마산아구,2018-08-31 23:59:59,한식,주택가주변,186264.9208,449152.6286,126.8456492,37.54684208
3150000-101-1991-06235,1991-08-01,02 3662 7818,"서울특별시 강서구 공항대로65길 1-5, 2층 (염창동)",7561,장수흑염소요리전문점,2024-04-21 2:40:00,한식,주택가주변,188183.9569,449802.0001,126.8648396,37.55274546
