asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
9,20180831,20181109,대추나무골감자탕,"서울특별시 관악구 조원중앙로 42, 1층 (신림동)",서울특별시 관악구 신림동  569번지 38호  ,3200000-101-2016-00350,한식,,105.45,조원동,상수도전용,
20,20010630,20181109,할매보쌈,"서울특별시 관악구 신림로 351, (신림동)",서울특별시 관악구 신림동  1432번지 76호  ,3200000-101-1987-07466,한식,,152.1,신림동,상수도전용,28854724
99,20090313,20181109,풍년오리,"서울특별시 관악구 관악로15길 9, 2층 (봉천동)",서울특별시 관악구 봉천동  863번지 11호  ,3200000-101-2003-00124,한식,,91,청룡동,,28759999
70,20160920,20181109,온정돈까스,"서울특별시 관악구 조원로 60, 1층 (신림동)",서울특별시 관악구 신림동  546번지 1호  ,3200000-101-2015-00468,경양식,,70,조원동,상수도전용,232813330
73,20131030,20181109,삼수갑산,"서울특별시 관악구 남현1길 38-9, 2,3층 (남현동)",서울특별시 관악구 남현동  1062번지 2호  ,3200000-101-2003-00184,한식,,322,남현동,,25830012
96,20120629,20181109,해태식당,"서울특별시 관악구 청룡1길 33, 1층 (봉천동)",서울특별시 관악구 봉천동  883번지 8호  지상1층,3200000-101-1990-03201,한식,,75.9,청룡동,상수도전용,28855398
86,20130704,20181109,신안갯뻘낙지명태어장,"서울특별시 관악구 난곡로 330, 1층 (신림동)",서울특별시 관악구 신림동  529번지 12호  ,3200000-101-2009-00536,한식,,94.9,신사동,,28626333
129,20060703,20181109,아리차이,"서울특별시 관악구 신림동길 4, (신림동,지하1층,지상1,2층)","서울특별시 관악구 신림동  1430번지 11호  지하1층,지상1,2층",3200000-101-2005-00528,중국식,,481.63,신림동,,28771272
106,20080710,20181109,가마솥,"서울특별시 관악구 관악로17길 13, 1층 (봉천동)",서울특별시 관악구 봉천동  868번지 23호  ,3200000-101-1997-06045,한식,,132.84,청룡동,상수도전용,28870188
108,20090313,20181109,장항복아구전문,"서울특별시 관악구 봉천로 186, 1~2층 (신림동)",서울특별시 관악구 신림동  1446번지 2호  ,3200000-101-1997-05906,한식,,148.88,신림동,상수도전용,28757101
111,20051205,20181109,화로구이,"서울특별시 관악구 남부순환로 1453, (신림동,지상2층~4층)",서울특별시 관악구 신림동  543번지 6호  지상2층~4층,3200000-101-2005-00198,한식,,996.01,조원동,상수도전용,28668592
116,20060510,20181109,상도늘보리 봉천역점,"서울특별시 관악구 봉천로 379, (봉천동,,6)","서울특별시 관악구 봉천동  932번지 5호  ,6",3200000-101-2005-00118,한식,,90,은천동,상수도전용,
109,20080710,20181109,남원추어탕,"서울특별시 관악구 쑥고개로 135, 1층 (봉천동)",서울특별시 관악구 봉천동  1569번지 1호  ,3200000-101-1997-05900,한식,,111.59,청룡동,상수도전용,28774946
115,20080710,20181109,청진동해장국,"서울특별시 관악구 관악로 105, (봉천동,지상1층)",서울특별시 관악구 봉천동  1592번지 9호  지상1층,3200000-101-2002-00083,한식,,147.35,청룡동,상수도전용,28759882
102,20080710,20181109,정수사(鄭壽司),"서울특별시 관악구 관악로 263, (봉천동,브라운스톤 지하2층 B201,B202,B203,B204,B205호)","서울특별시 관악구 봉천동  1721번지 0호  브라운스톤 지하2층 B201,B202,B203,B204,B205호",3200000-101-2007-00080,일식,,229.46,성현동,,28894567
104,20070720,20181109,광시생고기,"서울특별시 관악구 관악로30길 15, 1층 (봉천동)",서울특별시 관악구 봉천동  15번지 8호  ,3200000-101-1997-06015,한식,,220,청림동,상수도전용,28837700
97,20120629,20181109,일구칠구매운탕,"서울특별시 관악구 신림로26길 5, (신림동, 지상1층)",서울특별시 관악구 신림동  112번지 48호  ,3200000-101-2003-00216,한식,,155.8,서림동,,28881991
94,20140710,20181109,통통갈비집,"서울특별시 관악구 신림로65길 16, 1층 (신림동)",서울특별시 관악구 신림동  1432번지 95호  ,3200000-101-2003-00386,한식,,98.67,신림동,상수도전용,28728555
83,20120924,20181109,청국장과보리밥,"서울특별시 관악구 관악로24길 80, 1층 (봉천동)",서울특별시 관악구 봉천동  19번지 3호  ,3200000-101-1996-06099,한식,,61.38,행운동,상수도전용,28788858
79,20130704,20181109,족팔려,"서울특별시 관악구 남현3길 75, (남현동)",서울특별시 관악구 남현동  1062번지 16호  ,3200000-101-2011-00096,한식,,128.7,남현동,,
58,20160920,20181109,마뇨떡볶이,"서울특별시 관악구 신원로 35, 2층 (신림동)",서울특별시 관악구 신림동  1638번지 1호  ,3200000-101-2015-00350,분식,,198,서원동,상수도전용,28736262
55,20170920,20181109,이금옥샤브샤브칼국수,"서울특별시 관악구 관악로 132, 2층 (봉천동)",서울특별시 관악구 봉천동  1597번지 24호  ,3200000-101-2014-00443,한식,,110,낙성대동,상수도전용,28715417
50,20050614,20181109,태능숯불갈비,"서울특별시 관악구 봉천로7길 30, 2층 (봉천동)",서울특별시 관악구 봉천동  734번지 16호  ,3200000-101-1993-07285,한식,,96.92,보라매동,상수도전용,
51,20170920,20181109,낙성곱창,"서울특별시 관악구 봉천로 495-3, (봉천동)",서울특별시 관악구 봉천동  1667번지 49호  ,3200000-101-2001-09943,한식,,53.79,행운동,,28721118
48,20170920,20181109,명태어장,"서울특별시 관악구 남부순환로 1852, 2층 (봉천동)",서울특별시 관악구 봉천동  1601번지 22호  ,3200000-101-2005-00210,한식,,219.14,낙성대동,상수도전용,28779191
44,20170920,20181109,배영만 당진아구,"서울특별시 관악구 봉천로 560, 1층 (봉천동)",서울특별시 관악구 봉천동  1628번지 2호  ,3200000-101-2015-00040,한식,,147.4,낙성대동,상수도전용,28727978
39,20070720,20181109,예전,"서울특별시 관악구 봉천로 209, 7층 (봉천동, 롯데백화점)",서울특별시 관악구 봉천동  729번지 22호  ,3200000-101-2005-00039,한식,,127.3,보라매동,상수도전용,28411701
36,20070720,20181109,정가,"서울특별시 관악구 남부순환로 1710, 지하1~지상1층 (봉천동)",서울특별시 관악구 봉천동  945번지 10호  ,3200000-101-1999-09551,한식,,494.97,청룡동,상수도전용,28848988
32,20011230,20181109,심가면옥,"서울특별시 관악구 신림로 121, 2층 (신림동)",서울특별시 관악구 신림동  1515번지 15호  ,3200000-101-2001-11274,한식,,206.59,대학동,상수도전용,28872777
29,20050614,20181109,고창복의 낙지세상,"서울특별시 관악구 남부순환로 1725, (봉천동)",서울특별시 관악구 봉천동  931번지 4호  ,3200000-101-2002-00439,한식,,302.69,은천동,,28864242
85,20120629,20181109,한근한방삼계탕,"서울특별시 관악구 봉천로 396, (봉천동)",서울특별시 관악구 봉천동  923번지 16호  ,3200000-101-2001-11325,한식,,177.85,은천동,상수도전용,28772100
43,20070720,20181109,황제갈비,"서울특별시 관악구 남부순환로 1644, (신림동,,-29  지상2층,3층)","서울특별시 관악구 신림동  1411번지 28호  ,-29  지상2층,3층",3200000-101-2006-00034,한식,,690.03,서원동,상수도전용,28889665
46,20170920,20181109,뽕잎사랑뽕잎냉면버섯샤브칼국수,"서울특별시 관악구 남부순환로 1915, 지상1층 (봉천동)",서울특별시 관악구 봉천동  1685번지 21호  지상1층,3200000-101-2005-00382,한식,,135.58,행운동,,28763932
