asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
345,20050622,20080709,발산역맛찬들왕소금구이,"서울특별시 강서구 강서로 375-7, 1~3층 (가양동, 1동)",서울특별시 강서구 마곡동  723번지  (지상 1~3층),3150000-101-2003-00758,한식,삼겹살,576.09,가양제1동,상수도전용,236615026
31,20070608,20080709,화로구이,"서울특별시 강서구 강서로 374, 1~3층 (등촌동)",서울특별시 강서구 등촌동  673번지  ,3150000-101-2005-00471,한식,돼지갈비,964.75,등촌제3동,상수도전용,236633292
1,20151118,20151118,포베이 강서점,"서울특별시 강서구 화곡로 398, 홈플러스강서점앤본사사옥 4층 (등촌동)",서울특별시 강서구 등촌동  639번지 11호  홈플러스강서점앤본사사옥 (지상 4층),3150000-101-2014-00405,경양식,베트남쌀국수,185.11,등촌제1동,상수도전용,236630887
13,20191017,20191203,청북경오리,"서울특별시 강서구 마곡동로4길 15, 3층 302~304호 (마곡동, 가양 1동 엠팰리체)",서울특별시 강서구 마곡동  797번지 10호  엠팰리체 (지상 3층)-302~304,3150000-101-2014-00288,통닭(치킨),짬뽕,349.84,가양제1동,상수도전용,236615892
70,20090805,20090805,춘천전통69닭갈비,"서울특별시 강서구 송정로 64, 1층 (공항동)",서울특별시 강서구 공항동  53번지 26호  (지상 1층),3150000-101-1994-05212,한식,닭갈비,76.61,공항동,상수도전용,226634975
354,20050622,20080709,강서복집,"서울특별시 강서구 공항대로59길 8, 우현빌딩 1~2층 (등촌동)",서울특별시 강서구 등촌동  648번지  우현빌딩 1~2층,3150000-101-2004-00488,복어취급,복지리,287.51,등촌제1동,상수도전용,236616672
9,20141104,20141216,(주)더벨즈,"서울특별시 강서구 양천로60길 19, 강영빌딩 지하1층, 지상2층 (등촌동)",서울특별시 강서구 등촌동  630번지 6호  강영빌딩,3150000-101-2013-00038,한식,뷔페,460.3,등촌제1동,상수도전용,226648080
78,20090805,20090805,등촌샤브칼국수,"서울특별시 강서구 강서로56가길 65, 아트빌딩 2층 (등촌동)",서울특별시 강서구 등촌동  679번지 1호  아트빌딩,3150000-101-2002-00786,한식,칼국수,168.55,등촌제3동,상수도전용,226599318
88,20090805,20090805,대박감자탕,"서울특별시 강서구 곰달래로 255, 1층 (화곡동)",서울특별시 강서구 화곡동  797번지 3호  ,3150000-101-1998-08635,한식,감자탕,153.95,화곡제4동,상수도전용,226420555
13,20201126,20201228,애슐리퀸즈 롯데백화점 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 5층 (방화동)","서울특별시 강서구 방화동  886번지  김포공항, 롯데몰, 스카이시티 5층",3150000-101-2020-00141,뷔페식,"초밥, 그릴, 샐러드",823,방화제2동,상수도전용,261163553
4,20201125,20201228,주식회사 이랜드이츠 반궁NC강서점,"서울특별시 강서구 강서로56길 17, 엔씨백화점 9층 (등촌동)",서울특별시 강서구 등촌동  689번지  엔씨백화점 9층,3150000-101-2020-00091,한식,"고등어구이, 제육볶음, 묵은지찌개",209.35,등촌제3동,상수도전용,226679860
