asgn_sno,appl_ymd,asgn_ymd,upso_nm,site_addr_dr,site_addr,perm_nt_no,snt_uptae_nm,main_edf,trdp_area,admdng_nm,grade_facil_gbn,site_telno
121,20020315,20020412,양촌리,"서울특별시 강서구 화곡로 109, 1~2층 (화곡동)",서울특별시 강서구 화곡동  1069번지 3호  ,3150000-101-1997-04510,한식,"돼지갈비, 삼겹살",456.71,화곡제3동,상수도전용,226988592
198,20020315,20031212,이조갈비,"서울특별시 강서구 양천로 353, 1층 (가양동, 1동)",서울특별시 강서구 가양동  138번지 9호  외 2필지 (지상 1층),3150000-101-1996-04864,한식,갈비탕,266.45,가양제1동,상수도전용,236613457
9,20181010,20181210,능라도,"서울특별시 강서구 마곡동로 56, 건와빌딩 2층 202,203호 (마곡동)","서울특별시 강서구 마곡동  797번지 6호  건와빌딩 (지상 2층)-202,203",3150000-101-2018-00236,한식,평양냉면,536,가양제1동,상수도전용,269588939
272,20040601,20040705,신고집해물찜,"서울특별시 강서구 강서로 188, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동  1052번지 0호  외 1필지 (지상 1층),3150000-101-2003-00593,한식,해물찜,158.54,우장산동,상수도전용,226683359
29,20131201,20131202,명동가츠라,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동  886번지 0호  외 6필지 김포공항 스카이파크 (지하 2층),3150000-101-2011-00415,일식,우동,165.75,방화제2동,상수도전용,261165539
264,20020315,20020412,마산아구찜,"서울특별시 강서구 금낭화로 135, 3층 (방화동, 3동)",서울특별시 강서구 방화동  829번지 4호  (지상 3층),3150000-101-1997-04441,한식,대구탕,102.86,방화제3동,상수도전용,226651527
5,20100604,20100803,망향비빔국수,"서울특별시 강서구 양천로 720, 가동 1층 (염창동, 유동빌딩)",서울특별시 강서구 염창동  263번지 8호 가 유동빌딩 (지상 1층),3150000-101-2009-00199,한식,비빔국수,264,염창동,상수도전용,226596599
21,20151118,20151118,도쿄하나 등촌점,"서울특별시 강서구 공항대로 367, 백제원도쿄오백년장어 2층 (등촌동)",서울특별시 강서구 등촌동  661번지 12호  백제원도쿄오백년장어,3150000-101-2013-00240,일식,생선회,729.26,등촌제3동,상수도전용,226680880
24,20050622,20050712,발산삼계탕,"서울특별시 강서구 강서로 344, 1~2층 (내발산동)",서울특별시 강서구 내발산동  657번지 1호  ,3150000-101-2002-00417,한식,삼계탕,307.7,우장산동,,236623930
16,20151118,20151118,꽃향기,"서울특별시 강서구 화곡로 142, 3층 301호 (화곡동, 1동 메가박스)",서울특별시 강서구 화곡동  1073번지 10호  외 12필지 메가박스 (지상 3층)-301,3150000-101-2015-00110,한식,샤브샤브,483.11,화곡제1동,상수도전용,231440501
3,20241101,20241204,남다른감자탕(마곡점),"서울특별시 강서구 공항대로 228, 리더스타워마곡 1층 101~102호 (마곡동)",서울특별시 강서구 마곡동  800번지 5호  -101~102,3150000-101-2020-00777,한식,감자탕,107.1,발산제1동,상수도전용,226662001
4,20241101,20241204,KANS 칸스,"서울특별시 강서구 방화동로5길 12-1, 1층 (방화동)",서울특별시 강서구 방화동  612번지 95호  ,3150000-101-2023-00668,"외국음식전문점(인도,태국등)",칸스부리또,53.12,방화제2동,상수도전용,
56,20090727,20090727,궁중추어탕,"서울특별시 강서구 개화동로 565, 1층 (방화동, 2동)",서울특별시 강서구 방화동  621번지 24호  (지상 1층),3150000-101-1981-05498,한식,추어탕,52.31,방화제2동,상수도전용,226637332
1,20201127,20201228,동궁찜닭 마곡점,"서울특별시 강서구 마곡중앙2로 5, 메트로비즈타워 1층 110호 (마곡동)",서울특별시 강서구 마곡동  799번지 6호  메트로비즈타워 1층 110호,3150000-101-2019-00468,한식,찜닭,50.4,발산제1동,상수도전용,226684282
3,20191017,20191203,익스퍼랩(EXPER LAB),"서울특별시 강서구 마곡서로 152, 두산더랜드타워 B동 2층 221호 (마곡동)",서울특별시 강서구 마곡동  759번지 1호  두산더랜드타워B동 221호,3150000-101-2019-00397,경양식,스파게티,97.45,가양제1동,상수도전용,269899388
1,20120622,20120622,홍린,"서울특별시 강서구 우장산로15길 25, 1~3층 (화곡동)",서울특별시 강서구 화곡동  1096번지 17호  ,3150000-101-2007-00186,중국식,탕수육,326.76,화곡제6동,상수도전용,226086556
363,20090727,20080709,(유)아웃백스테이크하우스코리아 공항점,"서울특별시 강서구 마곡중앙6로 16, 마곡지엠지타워 3층 301호 (마곡동)",서울특별시 강서구 마곡동  773번지 2호  마곡지엠지타워 3층-301,3150000-101-1997-03601,경양식,스테이크,570.87,가양제1동,상수도전용,220548365
55,20090727,20090727,도일처,"서울특별시 강서구 개화동로 567, 1~2층 (방화동)",서울특별시 강서구 방화동  621번지 19호  (지상 1~2층),3150000-101-1988-04144,중국식,누룽지해물탕,119,방화제2동,상수도전용,226622322
2,20161103,20161103,다이닝원 발산점,"서울특별시 강서구 마곡중앙6로 93, 9층 901~906호 (마곡동, 가양 1동 열린프라자)",서울특별시 강서구 마곡동  795번지 7호  열린프라자 (지상 9층) 901~906호,3150000-101-2016-00237,일식,뷔페,876.25,가양제1동,상수도전용,236611357
3,20161103,20161103,조선갈비,"서울특별시 강서구 공항대로 341, 2~5층 (등촌동)",서울특별시 강서구 등촌동  664번지 7호  ,3150000-101-2016-00125,한식,갈비,818.8,등촌제3동,상수도전용,226589300
2,20230817,20231212,김포공항 기와집,"서울특별시 강서구 공항대로 16, 1층 (공항동)",서울특별시 강서구 공항동  72번지 24호  ,3150000-101-2022-00451,경양식,파스타,30,공항동,,
3,20221012,20221208,미스터피자 발산점,"서울특별시 강서구 강서로 289, 연빌딩 1층 (내발산동)","서울특별시 강서구 내발산동  701번지 9호  연빌딩, 1층",3150000-101-2021-00475,패밀리레스트랑,포테이토 피자,140.9,발산제1동,상수도전용,02 5907744
21,20171124,20171124,아그라,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 지하1층 (방화동)","서울특별시 강서구 방화동  882번지 1호  김포공항, 롯데몰, 스카이시티",3150000-101-2017-00304,"외국음식전문점(인도,태국등)",버터치킨마크니,199.35,방화제2동,상수도전용,218007634
30,20151118,20151118,맛남굼터,"서울특별시 강서구 강서로45가길 10, 2층 (화곡동, 3동)",서울특별시 강서구 화곡동  1007번지 4호  (지상2층),3150000-101-2015-00136,한식,숙성삼겹살,174.96,화곡제3동,,226996692
20,20181010,20181210,국민전통갈비 미소그릴,"서울특별시 강서구 우장산로 119, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1099번지 6호  (지상 1층),3150000-101-1998-04260,한식,돼지갈비,98.38,화곡제6동,상수도전용,226979512
38,20151118,20151118,베뉴지,"서울특별시 강서구 강서로 388, 그랜드마트 지하1~2층 (등촌동)",서울특별시 강서구 등촌동  678번지 14호  그랜드마트,3150000-101-2014-00047,뷔페식,뷔페,3649.97,등촌제3동,상수도전용,226572125
2,20201126,20201228,문배동육칼 김포공항점,"서울특별시 강서구 하늘길 112, 김포공항 국내선청사 4층 (공항동)",서울특별시 강서구 공항동  1373번지  김포공항 국내선청사 (지상 4층),3150000-101-2018-00074,한식,"육개장 칼국수, 사골 칼국수",142.74,공항동,상수도전용,226631980
8,20201027,20201228,자연솜씨 이대서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 지하 1층 (마곡동)",서울특별시 강서구 마곡동  808번지  이화의대부속서울병원(지하 1층),3150000-101-2019-00277,한식,"갈비탕, 제육볶음, 생대구탕",358.7,발산제1동,상수도전용,221355597
3,20120622,20120622,(주)닥터로빈 강서지점,"서울특별시 강서구 공항대로 396, (주)귀뚜라미보일러사옥빌딩 1층 (화곡동)",서울특별시 강서구 화곡동  1094번지  (주)귀뚜라미보일러사옥빌딩,3150000-101-2006-00291,경양식,"파스타, 피자",406.33,화곡제6동,상수도전용,226933100
5,20141104,20141216,현대옥 강서점,"서울특별시 강서구 화곡로 346, 귀뚜라미홈시스텔 1층 101~102호 (화곡동)",서울특별시 강서구 화곡동  1111번지 2호  귀뚜라미홈시스텔,3150000-101-2014-00040,한식,전주비빔밥,92.83,화곡제6동,상수도전용,226020069
8,20181010,20181210,가든키친(Garden Kitchen),"서울특별시 강서구 마곡중앙12로 10, 메리어트호텔 1층 (마곡동)",서울특별시 강서구 마곡동  766번지 1호  메리어트호텔 1층,3150000-101-2018-00212,한식,뷔페,563.92,가양제1동,상수도전용,269467111
7,20141104,20141216,엉터리생고기,"서울특별시 강서구 양천로 706, 1층 (염창동)",서울특별시 강서구 염창동  263번지 2호  (지상 1층),3150000-101-1997-04477,한식,삼겹살,363.05,염창동,상수도전용,236655336
29,20151118,20151118,마실한정식 발산점,"서울특별시 강서구 공항대로 290, 2층 201~202호 (내발산동, 우장산동)",서울특별시 강서구 내발산동  646번지 1호  (지상 2층)-201~202,3150000-101-2014-00154,한식,삼겹살,348.43,우장산동,상수도전용,236636639
1,20111005,20111031,갯마을식당,"서울특별시 강서구 양천로 362, 도우빌딩 1층 (등촌동)",서울특별시 강서구 등촌동  753번지  도우빌딩,3150000-101-1994-05568,한식,생선회,170.8,가양제1동,상수도전용,236625112
