rk,rest_name,rest_id,score,user_score,region,category
91,춘리마라탕,3200000-101-2021-00643,69,4.5,샤로수길점,중식
92,포도나무김밥,3200000-101-2014-00491,62,5,대학동,도시락
93,김창일스시,3200000-101-2015-00437,65,4.4,낙성대,돈까스/회
94,교촌치킨,3200000-101-2021-00316,60,4.2,신림2호점,치킨
95,맘스터치,3200000-101-2011-00272,62,5,신림역점,패스트푸드
96,교촌치킨,3200000-101-2000-10131,62,3.3,신림3호점,치킨
97,한우육회마을,3200000-101-2005-00484,68,5,샤로수길,고기
98,프레퍼스 다이어트 키친,3200000-101-2020-00390,66,4.2,신림본점,샐러드
99,성민양꼬치,3200000-101-1995-04357,71,4.3,신림역점,중식
100,죠스떡볶이,3200000-101-2013-00157,58,4.2,신대방역,분식
